コード,銘柄
2152,幼児活動
2153,イージェイＨＤ
2154,オープンＵＰ
2156,セーラー広告
2157,コシダカＨＤ
2158,ＦＲＯＮＴＥＯ
215A,タイミー
2160,ジーエヌアイ
2162,ｎｍｓ ＨＤ
2163,アルトナー
2164,地域新聞
2168,パソナＧ
2169,ＣＤＳ
216A,ライフクリエイト
2170,ＬＩＮＫ＆Ｍ
2173,博 展
2175,ＳＭＳ
2179,成学社
217A,サポート
2180,サニーサイド
2181,パーソルＨＤ
2183,リニカル
2185,シイエム・シイ
2186,ソーバル
218A,リベラウェア
2193,ＣＯＯＫ
2195,アミタＨＤ
2198,アイ・ケイ・ケイ
219A,ハートシード
2201,森永菓
2204,中村屋
2206,グリコ
2207,ｍｅｉｔｏ
2208,ブルボン
2209,井村屋Ｇ
220A,ファベル
2211,不二家
2212,山崎パン
2215,第一パン
2216,カンロ
2217,モロゾフ
221A,ＭＸ日経半
2220,亀田菓
2221,岩塚菓
2222,寿スピリッツ
2224,コ モ
2226,湖池屋
2229,カルビー
222A,ＮＩＣＳ
2235,上場ダウ
2236,ＧＸＵＳ配貴
2237,ｉＦ５００ダ
2238,ｉＦ５００ベア
2239,ＳＰレバ２倍
223A,ＧＸＡＩビック
2240,Ｓ＆Ｐインバ
2241,ＭＸＳダウ
2242,ＭＸＳダウヘ
2243,ＧＸ半導
2244,ＧＸＵＳテク２０
2245,ＮＦ独債７Ｈ
2246,ＮＦ仏債７Ｈ
2247,ｉＦ５００Ｈ無
2248,ｉＦ５００Ｈ有
2249,ｉＦ５００Ｗベ
224A,ＧＸウラニウム
2250,ｉＳ日気候
2251,ＪＧＢダブル
2252,ＧＸＵＳ中小
2253,ＧＸＵＳスーパ
2254,ＧＸ中国ＥＶ
2255,ｉＳ米債２０
2256,米総合債
2257,ｉＳＩＧ社債
2258,ｉＳＨＹ社債
2259,ｉＳフラ債Ｈ
2264,森永乳
2266,六甲バタ
2267,ヤクルト
2268,サーティワン
2269,明治ＨＤ
226A,勝美ジャ
2270,雪印メグ
227A,インサイトラボ
2281,プリマハム
2282,日本ハム
2286,林兼産
2288,丸大食
228A,オプロ
2291,福留ハム
2292,Ｓ Ｆｏｏｄｓ
2293,滝沢ハム
2294,柿安本店
2296,伊藤米久
229A,アスミＨＤ
2300,きょくと
2301,学 情
2303,ドーン
2304,ＣＳＳＨＤ
2305,スタジオアリス
2307,クロスキャット
2311,エプコ
2315,ＣＡＩＣＡ Ｄ
2317,システナ
2321,ソフトフロントＨ
2323,ｆｏｎｆｕｎ
2325,ＮＪＳ
2326,デジアーツ
2327,ＮＳＳＯＬ
2329,東北新社
2330,フォーサイド
2331,ＡＬＳＯＫ
2332,クエスト
2334,イオレ
2335,キューブシス
2337,いちご
2338,クオンタムＳ
233A,ｉＦインドＮ
2340,極楽湯ＨＤ
2341,アルバイトタイ
2342,トランスＧＧ
2344,平安レイ
2345,クシム
2349,エヌアイデイ
234A,ＧＸＣＦキング
2351,ＡＳＪ
2353,日 駐
2354,ＹＥ ＤＩＧＩＴ
2359,コ ア
235A,ＧＸ高配３０
236A,ｉＳ日７１０
2370,ＭＤＮＴ
2371,カカクコム
2373,ケア２１
2375,ギグワークス
2376,サイネックス
2378,ルネサンス
2379,ディップ
237A,ｉＳ米債２５
2384,ＳＢＳＨＤ
2385,総医研
2388,ウェッジＨＤ
238A,米債２５Ｈ
2391,プラネット
2393,日本ケア
2395,新日科学
239A,バレッグス
2404,鉄人化ＨＤ
2408,ＫＧ情報
2410,キャリアＤＣ
2411,ゲンダイＡＧ
2413,エムスリー
2415,ヒューマンＨＤ
2418,ツカダＧＨＤ
241A,ＲＯＸＸ
2424,ブラス
2425,ケアサービス
2428,ウェルネット
2429,ワールドＨＤ
2432,ＤｅＮＡ
2433,博報堂ＤＹ
2435,シダー
2436,共同ＰＲ
2437,シンワワイズ
2438,アスカネット
243A,トップス
2440,ぐるなび
2445,タカミヤ
2449,プラップＪ
244A,グロースエクス
2452,ＣＭＩＮＤ
2454,オールアバウト
2459,アウンコンサル
245A,ＩＮＧＳ
2461,ファンコミ
2462,ライク
2464,Ａｏｂａ－ＢＢＴ
2469,ヒビノ
246A,アスア
2471,エスプール
2475,ＷＤＢ
2477,手間イラズ
2479,ジェイテック
247A,Ａｉロボティク
2480,シスロケ
2481,タウンニュース
2483,翻訳センター
2484,出前館
2485,ティア
2488,ＪＴＰ
2489,アドウェイズ
248A,キッズスター
2491,Ｖコマース
2492,インフォマート
2493,イーサポート
2497,ＵＮＩＴＥＤ
2498,オリコンＨＤ
2499,日本和装
249A,ヒューマンＡ
2501,サッポロＨＤ
2502,アサヒ
2503,キリンＨＤ
250A,シマダヤ
2510,ＮＦ国内債
2511,ＮＦ外債
2512,ＮＦ外債ヘ
2513,ＮＦ外株
2514,ＮＦ外株ヘ
2515,ＮＦ外ＲＥＩＴ
2516,Ｇ２５０ＥＴＦ
2517,ＭＸＳＪＲＥコア
2518,ＮＦ女性活
2519,ＮＦ新興債
251A,ニューロマジク
2520,ＮＦ新興株
2521,上場米ＨＥ
2522,ｉＳロボット
2523,ＭＸＳト除金
2524,ＮＺＡＭ ＴＰＸ
2525,ＮＺＡＭ ２２５
2526,ＮＺＡＭ ４００
2527,ＮＺＡＭＪリコア
2528,ｉＦＪリートコア
2529,ＮＦ株主還
252A,ウェッジ
2530,ＭＸＳ Ａ１８０
2531,宝ＨＤ
